,MATCH,DATE,PT_DIFF,HOME,AWAY
0,New Orleans vs. Vermont,2006-11-07,-17.0,New Orleans,Vermont
1,Hampton vs. Maryland,2006-11-07,-27.0,Hampton,Maryland
2,Youngstown St. vs. Central Michigan,2006-11-08,-24.0,Youngstown St.,Central Michigan
3,Brown vs. Michigan St,2006-11-08,-11.0,Brown,Michigan St
4,Hampton vs. New Orleans,2006-11-08,1.0,Hampton,New Orleans
5,Vermont vs. Maryland,2006-11-08,18.0,Vermont,Maryland
6,Brown vs. Central Michigan,2006-11-09,-13.0,Brown,Central Michigan
7,Youngstown St. vs. Michigan St,2006-11-09,25.0,Youngstown St.,Michigan St
8,Chicago St. vs. St. Bonaventure,2006-11-09,3.0,Chicago St.,St. Bonaventure
9,Alcorn St. vs. Texas,2006-11-09,-59.0,Alcorn St.,Texas
10,Alabama A&M vs. Indiana - Purdue,2006-11-10,-39.0,Alabama A&M,Indiana - Purdue
11,Loyola-Chicago vs. Princeton,2006-11-10,11.0,Loyola-Chicago,Princeton
12,Texas-El Paso vs. Pennsylvania,2006-11-10,-3.0,Texas-El Paso,Pennsylvania
13,Eastern Michigan vs. Davidson,2006-11-10,4.0,Eastern Michigan,Davidson
14,Monmouth-NJ vs. Old Dominion,2006-11-10,-14.0,Monmouth-NJ,Old Dominion
15,Louisiana-Monroe vs. Eastern Illinois,2006-11-10,-10.0,Louisiana-Monroe,Eastern Illinois
16,Stony Brook vs. Colgate,2006-11-10,-3.0,Stony Brook,Colgate
17,New Hampshire vs. Boston College,2006-11-10,39.0,New Hampshire,Boston College
18,Mount St. Mary's vs. West Virginia,2006-11-10,-8.0,Mount St. Mary's,West Virginia
19,Wofford vs. N.C. State,2006-11-10,4.0,Wofford,N.C. State
20,Lafayette vs. Wagner,2006-11-10,6.0,Lafayette,Wagner
21,Southeastern Louisiana vs. Cal Poly SLO,2006-11-10,-7.0,Southeastern Louisiana,Cal Poly SLO
22,Middle Tennessee St. vs. Tennessee,2006-11-10,-31.0,Middle Tennessee St.,Tennessee
23,Quinnipiac vs. Connecticut,2006-11-10,7.0,Quinnipiac,Connecticut
24,South Carolina State vs. South Carolina,2006-11-10,3.0,South Carolina State,South Carolina
25,Southern vs. Georgia,2006-11-10,60.0,Southern,Georgia
26,Troy vs. Auburn,2006-11-10,3.0,Troy,Auburn
27,IUPU - Ft. Wayne vs. Notre Dame,2006-11-10,-43.0,IUPU - Ft. Wayne,Notre Dame
28,St. Francis (NY) vs. Syracuse,2006-11-10,-32.0,St. Francis (NY),Syracuse
29,Central Conn. St. vs. Michigan,2006-11-10,-20.0,Central Conn. St.,Michigan
30,SE Missouri St. vs. Arkansas,2006-11-10,40.0,SE Missouri St.,Arkansas
31,Buffalo vs. Canisius,2006-11-10,3.0,Buffalo,Canisius
32,Chicago St. vs. Texas,2006-11-10,-26.0,Chicago St.,Texas
33,Sacred Heart vs. Fordham,2006-11-10,2.0,Sacred Heart,Fordham
34,Florida Atlantic vs. Oklahoma St.,2006-11-10,-45.0,Florida Atlantic,Oklahoma St.
35,South Alabama vs. UC Irvine,2006-11-10,4.0,South Alabama,UC Irvine
36,Cornell vs. Northwestern,2006-11-10,3.0,Cornell,Northwestern
37,Arkansas-Pine Bluff vs. Air Force,2006-11-10,36.0,Arkansas-Pine Bluff,Air Force
38,Prairie View A&M vs. Texas A&M,2006-11-10,-32.0,Prairie View A&M,Texas A&M
39,San Jose St. vs. UC Santa Barbara,2006-11-10,-8.0,San Jose St.,UC Santa Barbara
40,Lehigh vs. Oregon,2006-11-10,-12.0,Lehigh,Oregon
41,Oral Roberts vs. Loyola Marymount,2006-11-10,3.0,Oral Roberts,Loyola Marymount
42,Winston-Salem vs. Fresno St.,2006-11-10,22.0,Winston-Salem,Fresno St.
43,South Dakota State vs. Kent St.,2006-11-10,55.0,South Dakota State,Kent St.
44,Army vs. Stetson,2006-11-10,12.0,Army,Stetson
45,Navy vs. Loyola-Maryland,2006-11-10,-12.0,Navy,Loyola-Maryland
46,UAB vs. Washington St.,2006-11-10,-11.0,UAB,Washington St.
47,Alcorn St. vs. St. Bonaventure,2006-11-10,-9.0,Alcorn St.,St. Bonaventure
48,American U. vs. Fairfield,2006-11-10,5.0,American U.,Fairfield
49,George Washington vs. Boston U,2006-11-10,-13.0,George Washington,Boston U
50,Howard vs. Cincinnati,2006-11-10,31.0,Howard,Cincinnati
51,Portland St. vs. CSU Northridge,2006-11-10,25.0,Portland St.,CSU Northridge
52,Coppin St. vs. Virginia Tech,2006-11-10,-49.0,Coppin St.,Virginia Tech
53,Morehead St. vs. Penn St.,2006-11-10,-17.0,Morehead St.,Penn St.
54,Eastern Washington vs. Gonzaga,2006-11-10,-15.0,Eastern Washington,Gonzaga
55,Elon University vs. Georgia Tech,2006-11-10,-34.0,Elon University,Georgia Tech
56,Samford vs. Florida,2006-11-10,25.0,Samford,Florida
57,Mississippi Valley State vs. Mississippi,2006-11-10,23.0,Mississippi Valley State,Mississippi
58,VMI vs. Ohio St.,2006-11-10,38.0,VMI,Ohio St.
59,Norfolk State vs. Oklahoma,2006-11-10,-63.0,Norfolk State,Oklahoma
60,No.Carolina A&T vs. Missouri,2006-11-10,21.0,No.Carolina A&T,Missouri
61,Murray St. vs. San Diego St.,2006-11-10,-3.0,Murray St.,San Diego St.
62,North Florida vs. St. John's,2006-11-10,-21.0,North Florida,St. John's
63,Jackson State vs. Alabama,2006-11-10,31.0,Jackson State,Alabama
64,Radford vs. Wis.-Milwaukee,2006-11-10,-12.0,Radford,Wis.-Milwaukee
65,Utah St. vs. Northwestern St.,2006-11-10,17.0,Utah St.,Northwestern St.
66,UC Riverside vs. Iowa St.,2006-11-10,8.0,UC Riverside,Iowa St.
67,Clemson vs. Arkansas St.,2006-11-10,-39.0,Clemson,Arkansas St.
68,Southern Utah vs. Utah,2006-11-10,3.0,Southern Utah,Utah
69,Montana St. vs. Utah Valley,2006-11-10,-32.0,Montana St.,Utah Valley
70,Tenn-Martin vs. High Point,2006-11-10,-3.0,Tenn-Martin,High Point
71,Butler vs. Tulane,2006-11-10,40.0,Butler,Tulane
72,Portland vs. Oregon St.,2006-11-10,17.0,Portland,Oregon St.
73,Hawaii vs. UNLV,2006-11-10,-14.0,Hawaii,UNLV
74,North Dakota State vs. Idaho,2006-11-10,-15.0,North Dakota State,Idaho
75,Denver vs. Colorado,2006-11-10,14.0,Denver,Colorado
76,Hartford vs. Georgetown,2006-11-11,10.0,Hartford,Georgetown
77,South Dakota State vs. Alabama A&M,2006-11-11,4.0,South Dakota State,Alabama A&M
78,Maine vs. Harvard,2006-11-11,4.0,Maine,Harvard
79,Austin Peay vs. Dayton,2006-11-11,-16.0,Austin Peay,Dayton
80,Charleston vs. Georgia St,2006-11-11,6.0,Charleston,Georgia St
81,Marist vs. Ohio,2006-11-11,-17.0,Marist,Ohio
82,William & Mary vs. Kansas St.,2006-11-11,10.0,William & Mary,Kansas St.
83,VMI vs. Princeton,2006-11-11,5.0,VMI,Princeton
84,Boise St. vs. Wyoming,2006-11-11,-15.0,Boise St.,Wyoming
85,Nicholls State vs. Mississippi St.,2006-11-11,35.0,Nicholls State,Mississippi St.
86,Siena vs. Stanford,2006-11-11,-20.0,Siena,Stanford
87,Arkansas St. vs. Old Dominion,2006-11-11,-8.0,Arkansas St.,Old Dominion
88,Army vs. Missouri,2006-11-11,-9.0,Army,Missouri
89,Lehigh vs. Portland St.,2006-11-11,-4.0,Lehigh,Portland St.
90,Dartmouth vs. Massachusetts,2006-11-11,-37.0,Dartmouth,Massachusetts
91,Indiana - Purdue vs. Kent St.,2006-11-11,-7.0,Indiana - Purdue,Kent St.
92,UAB vs. Radford,2006-11-11,-13.0,UAB,Radford
93,Monmouth-NJ vs. Clemson,2006-11-11,12.0,Monmouth-NJ,Clemson
94,Eastern Illinois vs. UC Riverside,2006-11-11,-9.0,Eastern Illinois,UC Riverside
95,Pennsylvania vs. Syracuse,2006-11-11,-18.0,Pennsylvania,Syracuse
96,Bucknell vs. Albany,2006-11-11,6.0,Bucknell,Albany
97,Coastal Carolina vs. Xavier,2006-11-11,-33.0,Coastal Carolina,Xavier
98,Western Kentucky vs. Kennesaw St.,2006-11-11,-41.0,Western Kentucky,Kennesaw St.
99,Cal Poly SLO vs. Portland,2006-11-11,3.0,Cal Poly SLO,Portland
100,Loyola-Chicago vs. Ohio St.,2006-11-11,-12.0,Loyola-Chicago,Ohio St.
101,Centenary vs. Texas Christian,2006-11-11,-6.0,Centenary,Texas Christian
102,Toledo vs. Missouri St.,2006-11-11,13.0,Toledo,Missouri St.
103,DePaul vs. Bradley,2006-11-11,20.0,DePaul,Bradley
104,Texas Southern vs. Lamar,2006-11-11,8.0,Texas Southern,Lamar
105,Washington St. vs. Wis.-Milwaukee,2006-11-11,20.0,Washington St.,Wis.-Milwaukee
106,Louisiana-Monroe vs. Iowa St.,2006-11-11,28.0,Louisiana-Monroe,Iowa St.
107,High Point vs. Howard,2006-11-11,19.0,High Point,Howard
108,San Diego St. vs. St. Mary's,2006-11-11,1.0,San Diego St.,St. Mary's
109,Charleston Southern vs. Furman,2006-11-11,-19.0,Charleston Southern,Furman
110,Northern Colorado vs. Ball St.,2006-11-11,39.0,Northern Colorado,Ball St.
111,No.Carolina A&T vs. Stetson,2006-11-11,-3.0,No.Carolina A&T,Stetson
112,Sam Houston St. vs. Texas Tech,2006-11-11,-15.0,Sam Houston St.,Texas Tech
113,Central Conn. St. vs. Eastern Michigan,2006-11-11,-7.0,Central Conn. St.,Eastern Michigan
114,James Madison vs. Wake Forest,2006-11-11,-9.0,James Madison,Wake Forest
115,MD Baltimore Cty vs. St. Peter's,2006-11-11,-11.0,MD Baltimore Cty,St. Peter's
116,New Jersey Tech vs. Manhattan,2006-11-11,-1.0,New Jersey Tech,Manhattan
117,George Mason vs. Cleveland St.,2006-11-11,-5.0,George Mason,Cleveland St.
118,Hofstra vs. Charlotte,2006-11-11,6.0,Hofstra,Charlotte
119,Davidson vs. Michigan,2006-11-11,-10.0,Davidson,Michigan
120,NC-Greensboro vs. Marshall,2006-11-11,2.0,NC-Greensboro,Marshall
121,San Diego vs. Stephen F. Austin,2006-11-11,-9.0,San Diego,Stephen F. Austin
122,St. Francis (NY) vs. Texas-El Paso,2006-11-11,-2.0,St. Francis (NY),Texas-El Paso
123,Loyola-Maryland vs. North Florida,2006-11-11,15.0,Loyola-Maryland,North Florida
124,Morgan St. vs. East Carolina,2006-11-11,19.0,Morgan St.,East Carolina
125,CSU Northridge vs. Oregon,2006-11-11,-11.0,CSU Northridge,Oregon
126,Tenn-Martin vs. Cincinnati,2006-11-11,18.0,Tenn-Martin,Cincinnati
127,Binghamton vs. LIU Brooklyn,2006-11-11,-14.0,Binghamton,LIU Brooklyn
128,Florida International vs. Miami-Florida,2006-11-11,-23.0,Florida International,Miami-Florida
129,Wright St. vs. Miami (OH),2006-11-11,-1.0,Wright St.,Miami (OH)
130,Navy vs. St. John's,2006-11-11,-23.0,Navy,St. John's
131,Northern Arizona vs. Kansas,2006-11-11,34.0,Northern Arizona,Kansas
132,Jacksonville St. vs. New Orleans,2006-11-11,-12.0,Jacksonville St.,New Orleans
133,UC Irvine vs. Winston-Salem,2006-11-11,12.0,UC Irvine,Winston-Salem
134,Southeastern Louisiana vs. Oregon St.,2006-11-11,-2.0,Southeastern Louisiana,Oregon St.
135,South Alabama vs. Fresno St.,2006-11-11,10.0,South Alabama,Fresno St.
136,South Dakota State vs. VMI,2006-11-12,-15.0,South Dakota State,VMI
137,UC Riverside vs. Louisiana-Monroe,2006-11-12,12.0,UC Riverside,Louisiana-Monroe
138,Southeastern Louisiana vs. Portland,2006-11-12,-8.0,Southeastern Louisiana,Portland
139,Sacramento State vs. New Mexico,2006-11-12,36.0,Sacramento State,New Mexico
140,Eastern Illinois vs. Iowa St.,2006-11-12,-2.0,Eastern Illinois,Iowa St.
141,CSU Northridge vs. Lehigh,2006-11-12,6.0,CSU Northridge,Lehigh
142,Jacksonville vs. Savannah State,2006-11-12,-3.0,Jacksonville,Savannah State
143,Eastern Michigan vs. Michigan,2006-11-12,-29.0,Eastern Michigan,Michigan
144,Howard vs. Tenn-Martin,2006-11-12,5.0,Howard,Tenn-Martin
145,Stetson vs. Missouri,2006-11-12,21.0,Stetson,Missouri
146,Wis.-Green Bay vs. Oakland,2006-11-12,17.0,Wis.-Green Bay,Oakland
147,Cal Poly SLO vs. Oregon St.,2006-11-12,-13.0,Cal Poly SLO,Oregon St.
148,Texas-El Paso vs. Syracuse,2006-11-12,14.0,Texas-El Paso,Syracuse
149,Portland St. vs. Oregon,2006-11-12,48.0,Portland St.,Oregon
150,UAB vs. Wis.-Milwaukee,2006-11-12,15.0,UAB,Wis.-Milwaukee
151,Florida A&M vs. Maryland,2006-11-12,-39.0,Florida A&M,Maryland
152,McNeese St. vs. Florida St.,2006-11-12,20.0,McNeese St.,Florida St.
153,Kent St. vs. Ohio St.,2006-11-12,-22.0,Kent St.,Ohio St.
154,Columbia vs. Duke,2006-11-12,-43.0,Columbia,Duke
155,Murray St. vs. St. Mary's,2006-11-12,-18.0,Murray St.,St. Mary's
156,Western Michigan vs. Pittsburgh,2006-11-12,19.0,Western Michigan,Pittsburgh
157,North Texas vs. Charlotte,2006-11-12,-18.0,North Texas,Charlotte
158,Davidson vs. Central Conn. St.,2006-11-12,-27.0,Davidson,Central Conn. St.
159,Arkansas St. vs. Monmouth-NJ,2006-11-12,-2.0,Arkansas St.,Monmouth-NJ
160,Alabama A&M vs. Princeton,2006-11-12,-17.0,Alabama A&M,Princeton
161,Army vs. No.Carolina A&T,2006-11-12,14.0,Army,No.Carolina A&T
162,St. Francis (NY) vs. Pennsylvania,2006-11-12,30.0,St. Francis (NY),Pennsylvania
163,Fairfield vs. Holy Cross,2006-11-12,-2.0,Fairfield,Holy Cross
164,Washington St. vs. Radford,2006-11-12,-17.0,Washington St.,Radford
165,Clemson vs. Old Dominion,2006-11-12,4.0,Clemson,Old Dominion
166,Citadel vs. Michigan St,2006-11-12,-32.0,Citadel,Michigan St
167,Illinois St. vs. Southern Methodist,2006-11-12,-2.0,Illinois St.,Southern Methodist
168,Mercer vs. Wisconsin,2006-11-12,-24.0,Mercer,Wisconsin
169,Indiana - Purdue vs. Loyola-Chicago,2006-11-12,-4.0,Indiana - Purdue,Loyola-Chicago
170,UC Davis vs. Georgia Southern,2006-11-12,43.0,UC Davis,Georgia Southern
171,Winston-Salem vs. South Alabama,2006-11-12,18.0,Winston-Salem,South Alabama
172,High Point vs. Cincinnati,2006-11-12,12.0,High Point,Cincinnati
173,Arizona vs. Virginia,2006-11-12,-3.0,Arizona,Virginia
174,Nicholls State vs. Northern Iowa,2006-11-12,-5.0,Nicholls State,Northern Iowa
175,Texas-Pan American vs. Texas-San Antonio,2006-11-12,10.0,Texas-Pan American,Texas-San Antonio
176,UC Irvine vs. Fresno St.,2006-11-12,31.0,UC Irvine,Fresno St.
177,Pepperdine vs. Washington,2006-11-12,-8.0,Pepperdine,Washington
178,UC Davis vs. Columbia,2006-11-13,5.0,UC Davis,Columbia
179,Maine vs. Detroit,2006-11-13,7.0,Maine,Detroit
180,Arkansas-Little Rock vs. Akron,2006-11-13,-2.0,Arkansas-Little Rock,Akron
181,Jackson State vs. Georgia Tech,2006-11-13,30.0,Jackson State,Georgia Tech
182,Buffalo vs. South Florida,2006-11-13,-16.0,Buffalo,South Florida
183,Houston vs. Rhode Island,2006-11-13,3.0,Houston,Rhode Island
184,Stony Brook vs. Cornell,2006-11-13,4.0,Stony Brook,Cornell
185,Illinois St. vs. Florida St.,2006-11-13,14.0,Illinois St.,Florida St.
186,Northern Iowa vs. Pepperdine,2006-11-13,25.0,Northern Iowa,Pepperdine
187,Austin Peay vs. Illinois,2006-11-13,-45.0,Austin Peay,Illinois
188,Fordham vs. Tennessee,2006-11-13,-7.0,Fordham,Tennessee
189,Evansville vs. Lipscomb,2006-11-13,-3.0,Evansville,Lipscomb
190,Mississippi Valley State vs. Creighton,2006-11-13,36.0,Mississippi Valley State,Creighton
191,UC Santa Barbara vs. Montana St.,2006-11-13,-32.0,UC Santa Barbara,Montana St.
192,Northern Arizona vs. Arizona St.,2006-11-13,-4.0,Northern Arizona,Arizona St.
193,Nicholls State vs. Washington,2006-11-13,-28.0,Nicholls State,Washington
194,McNeese St. vs. Southern Methodist,2006-11-13,-16.0,McNeese St.,Southern Methodist
195,Notre Dame vs. Butler,2006-11-13,2.0,Notre Dame,Butler
196,Hartford vs. Towson,2006-11-13,-14.0,Hartford,Towson
197,Georgia Southern vs. Duke,2006-11-13,24.0,Georgia Southern,Duke
198,Northern Colorado vs. Purdue,2006-11-13,-32.0,Northern Colorado,Purdue
199,Vermont vs. Boston College,2006-11-13,-14.0,Vermont,Boston College
200,Youngstown St. vs. Duquesne,2006-11-13,6.0,Youngstown St.,Duquesne
201,Florida International vs. Robert Morris,2006-11-13,-24.0,Florida International,Robert Morris
202,Valparaiso vs. IUPU - Ft. Wayne,2006-11-13,-8.0,Valparaiso,IUPU - Ft. Wayne
203,VCU vs. Longwood,2006-11-13,-12.0,VCU,Longwood
204,East Tennessee St. vs. Eastern Kentucky,2006-11-13,-17.0,East Tennessee St.,Eastern Kentucky
205,NC-Greensboro vs. Penn St.,2006-11-13,-13.0,NC-Greensboro,Penn St.
206,North Dakota State vs. Minnesota,2006-11-13,14.0,North Dakota State,Minnesota
207,Florida Atlantic vs. UMKC,2006-11-13,-15.0,Florida Atlantic,UMKC
208,Loyola Marymount vs. Mississippi St.,2006-11-13,-24.0,Loyola Marymount,Mississippi St.
209,Idaho State vs. Marquette,2006-11-13,-3.0,Idaho State,Marquette
210,Citadel vs. Iowa,2006-11-13,-22.0,Citadel,Iowa
211,Lafayette vs. Indiana,2006-11-13,25.0,Lafayette,Indiana
212,Montana vs. Utah Valley,2006-11-13,-17.0,Montana,Utah Valley
213,Gardner-Webb vs. Texas Tech,2006-11-13,-12.0,Gardner-Webb,Texas Tech
214,NC-Wilmington vs. Belmont,2006-11-13,-5.0,NC-Wilmington,Belmont
215,Coppin St. vs. Hawaii,2006-11-13,-12.0,Coppin St.,Hawaii
216,McNeese St. vs. Illinois St.,2006-11-14,17.0,McNeese St.,Illinois St.
217,Lafayette vs. Notre Dame,2006-11-14,-32.0,Lafayette,Notre Dame
218,East Carolina vs. Richmond,2006-11-14,-4.0,East Carolina,Richmond
219,Wagner vs. Manhattan,2006-11-14,3.0,Wagner,Manhattan
220,Fairfield vs. St. Joseph's,2006-11-14,-16.0,Fairfield,St. Joseph's
221,Western Carolina vs. N.C. Asheville,2006-11-14,-15.0,Western Carolina,N.C. Asheville
222,Gardner-Webb vs. Akron,2006-11-14,28.0,Gardner-Webb,Akron
223,Wake Forest vs. Bucknell,2006-11-14,-3.0,Wake Forest,Bucknell
224,Mercer vs. Savannah State,2006-11-14,-10.0,Mercer,Savannah State
225,Central Arkansas vs. St. Bonaventure,2006-11-14,-5.0,Central Arkansas,St. Bonaventure
226,Alcorn St. vs. Miami-Florida,2006-11-14,-39.0,Alcorn St.,Miami-Florida
227,Delaware State vs. Pittsburgh,2006-11-14,-17.0,Delaware State,Pittsburgh
228,Fairleigh Dickinson vs. Providence,2006-11-14,-25.0,Fairleigh Dickinson,Providence
229,New Orleans vs. Tulane,2006-11-14,-14.0,New Orleans,Tulane
230,DePaul vs. Northwestern,2006-11-14,-10.0,DePaul,Northwestern
231,Louisiana-Lafayette vs. Mississippi,2006-11-14,-15.0,Louisiana-Lafayette,Mississippi
232,Long Beach St. vs. Air Force,2006-11-14,1.0,Long Beach St.,Air Force
233,Chicago St. vs. Wichita St.,2006-11-14,-12.0,Chicago St.,Wichita St.
234,Colorado vs. New Mexico,2006-11-14,-41.0,Colorado,New Mexico
235,NC-Wilmington vs. Tennessee,2006-11-14,-12.0,NC-Wilmington,Tennessee
236,Southern Utah vs. Denver,2006-11-14,-6.0,Southern Utah,Denver
237,Winthrop vs. Iona,2006-11-14,-19.0,Winthrop,Iona
238,Northern Iowa vs. Washington,2006-11-14,-9.0,Northern Iowa,Washington
239,San Jose St. vs. Stanford,2006-11-14,-21.0,San Jose St.,Stanford
240,Maine vs. Idaho State,2006-11-14,9.0,Maine,Idaho State
241,Belmont vs. Fordham,2006-11-14,7.0,Belmont,Fordham
242,Marist vs. Delaware,2006-11-14,-16.0,Marist,Delaware
243,Rider vs. New Jersey Tech,2006-11-14,11.0,Rider,New Jersey Tech
244,Boston U vs. Harvard,2006-11-14,4.0,Boston U,Harvard
245,Sacred Heart vs. North Carolina,2006-11-14,22.0,Sacred Heart,North Carolina
246,Western Michigan vs. Indiana St.,2006-11-14,2.0,Western Michigan,Indiana St.
247,James Madison vs. Mount St. Mary's,2006-11-14,-11.0,James Madison,Mount St. Mary's
248,North Florida vs. Florida,2006-11-14,46.0,North Florida,Florida
249,Western Kentucky vs. Georgia,2006-11-14,-3.0,Western Kentucky,Georgia
250,Brown vs. Navy,2006-11-14,-23.0,Brown,Navy
251,Morgan St. vs. American U.,2006-11-14,13.0,Morgan St.,American U.
252,Southern Methodist vs. Florida St.,2006-11-14,7.0,Southern Methodist,Florida St.
253,Dartmouth vs. George Washington,2006-11-14,-45.0,Dartmouth,George Washington
254,Loyola-Maryland vs. MD Baltimore Cty,2006-11-14,13.0,Loyola-Maryland,MD Baltimore Cty
255,Pepperdine vs. Nicholls State,2006-11-14,-15.0,Pepperdine,Nicholls State
256,Texas State vs. Centenary,2006-11-14,6.0,Texas State,Centenary
257,Stephen F. Austin vs. Texas Christian,2006-11-14,-6.0,Stephen F. Austin,Texas Christian
258,Detroit vs. Marquette,2006-11-14,-42.0,Detroit,Marquette
259,Baylor vs. Colorado St.,2006-11-14,5.0,Baylor,Colorado St.
260,Butler vs. Indiana,2006-11-14,5.0,Butler,Indiana
261,Pacific vs. New Mexico St.,2006-11-14,2.0,Pacific,New Mexico St.
262,San Francisco vs. Sacramento State,2006-11-14,-25.0,San Francisco,Sacramento State
263,Arkansas-Little Rock vs. Texas Tech,2006-11-14,-34.0,Arkansas-Little Rock,Texas Tech
264,South Carolina vs. UC Irvine,2006-11-14,-15.0,South Carolina,UC Irvine
265,Eastern Washington vs. UNLV,2006-11-14,-3.0,Eastern Washington,UNLV
266,Rice vs. Gonzaga,2006-11-14,38.0,Rice,Gonzaga
267,Wis.-Milwaukee vs. Michigan,2006-11-15,7.0,Wis.-Milwaukee,Michigan
268,Illinois-Chicago vs. Davidson,2006-11-15,11.0,Illinois-Chicago,Davidson
269,Hampton vs. Holy Cross,2006-11-15,-15.0,Hampton,Holy Cross
270,No.Carolina A&T vs. Dayton,2006-11-15,13.0,No.Carolina A&T,Dayton
271,Furman vs. Clemson,2006-11-15,9.0,Furman,Clemson
272,Rice vs. Colorado St.,2006-11-15,-9.0,Rice,Colorado St.
273,San Jose St. vs. Long Beach St.,2006-11-15,19.0,San Jose St.,Long Beach St.
274,Jackson State vs. Illinois,2006-11-15,21.0,Jackson State,Illinois
275,Northwestern St. vs. Oklahoma St.,2006-11-15,-3.0,Northwestern St.,Oklahoma St.
276,Georgetown vs. Vanderbilt,2006-11-15,16.0,Georgetown,Vanderbilt
277,Northern Arizona vs. Arizona,2006-11-15,22.0,Northern Arizona,Arizona
278,Air Force vs. Stanford,2006-11-15,34.0,Air Force,Stanford
279,Utah Valley vs. California,2006-11-15,13.0,Utah Valley,California
280,Winthrop vs. North Carolina,2006-11-15,7.0,Winthrop,North Carolina
281,Longwood vs. Norfolk State,2006-11-15,11.0,Longwood,Norfolk State
282,Chattanooga vs. East Tennessee St.,2006-11-15,-1.0,Chattanooga,East Tennessee St.
283,Northeastern vs. Syracuse,2006-11-15,-23.0,Northeastern,Syracuse
284,Miami (OH) vs. Kentucky,2006-11-15,11.0,Miami (OH),Kentucky
285,Kansas St. vs. Rutgers,2006-11-15,14.0,Kansas St.,Rutgers
286,Texas-Arlington vs. North Texas,2006-11-15,-2.0,Texas-Arlington,North Texas
287,Oral Roberts vs. Kansas,2006-11-15,-7.0,Oral Roberts,Kansas
288,Wis.-Green Bay vs. Wisconsin,2006-11-15,-17.0,Wis.-Green Bay,Wisconsin
289,Montana vs. Wyoming,2006-11-15,-5.0,Montana,Wyoming
290,Sacred Heart vs. Iona,2006-11-15,-7.0,Sacred Heart,Iona
291,Nevada vs. Oregon St.,2006-11-15,28.0,Nevada,Oregon St.
292,Baylor vs. Gonzaga,2006-11-15,-9.0,Baylor,Gonzaga
293,Brigham Young vs. UCLA,2006-11-15,-13.0,Brigham Young,UCLA
294,Samford vs. Towson,2006-11-16,-7.0,Samford,Towson
295,Coastal Carolina vs. Campbell,2006-11-16,20.0,Coastal Carolina,Campbell
296,Citadel vs. Charleston Southern,2006-11-16,9.0,Citadel,Charleston Southern
297,Maryland vs. St. John's,2006-11-16,32.0,Maryland,St. John's
298,Tenn-Martin vs. Southern Mississippi,2006-11-16,10.0,Tenn-Martin,Southern Mississippi
299,Idaho vs. South Dakota State,2006-11-16,8.0,Idaho,South Dakota State
300,Liberty vs. Oklahoma,2006-11-16,-26.0,Liberty,Oklahoma
301,UC Davis vs. Texas-El Paso,2006-11-16,4.0,UC Davis,Texas-El Paso
302,South Carolina vs. Southern California,2006-11-16,6.0,South Carolina,Southern California
303,Georgia St vs. Georgia Tech,2006-11-16,-29.0,Georgia St,Georgia Tech
304,NC-Greensboro vs. Duke,2006-11-16,27.0,NC-Greensboro,Duke
305,Binghamton vs. Niagara,2006-11-16,8.0,Binghamton,Niagara
306,Jacksonville vs. Florida,2006-11-16,29.0,Jacksonville,Florida
307,Jackson State vs. Memphis,2006-11-16,-42.0,Jackson State,Memphis
308,Lipscomb vs. Missouri,2006-11-16,-20.0,Lipscomb,Missouri
309,Bowling Green vs. Arkansas St.,2006-11-16,10.0,Bowling Green,Arkansas St.
310,Michigan St vs. Texas,2006-11-16,2.0,Michigan St,Texas
311,Troy vs. Rhode Island,2006-11-16,-6.0,Troy,Rhode Island
312,Middle Tennessee St. vs. Alabama,2006-11-17,9.0,Middle Tennessee St.,Alabama
313,Toledo vs. Iowa,2006-11-17,13.0,Toledo,Iowa
314,Northeastern vs. Pittsburgh,2006-11-17,-26.0,Northeastern,Pittsburgh
315,Louisiana Tech vs. Saint Louis,2006-11-17,-22.0,Louisiana Tech,Saint Louis
316,Texas vs. St. John's,2006-11-17,-1.0,Texas,St. John's
317,American U. vs. Richmond,2006-11-17,-11.0,American U.,Richmond
318,New Jersey Tech vs. Columbia,2006-11-17,13.0,New Jersey Tech,Columbia
319,South Carolina State vs. South Florida,2006-11-17,-13.0,South Carolina State,South Florida
320,Florida Atlantic vs. Old Dominion,2006-11-17,-15.0,Florida Atlantic,Old Dominion
321,Delaware vs. Albany,2006-11-17,20.0,Delaware,Albany
322,Stony Brook vs. Penn St.,2006-11-17,-8.0,Stony Brook,Penn St.
323,Longwood vs. George Washington,2006-11-17,14.0,Longwood,George Washington
324,Texas Southern vs. Oklahoma St.,2006-11-17,21.0,Texas Southern,Oklahoma St.
325,Lamar vs. Texas A&M,2006-11-17,-34.0,Lamar,Texas A&M
326,LIU Brooklyn vs. Minnesota,2006-11-17,-16.0,LIU Brooklyn,Minnesota
327,North Dakota State vs. Texas Tech,2006-11-17,-4.0,North Dakota State,Texas Tech
328,Nicholls State vs. Louisiana State,2006-11-17,54.0,Nicholls State,Louisiana State
329,Elon University vs. Wake Forest,2006-11-17,-25.0,Elon University,Wake Forest
330,Eastern Illinois vs. DePaul,2006-11-17,30.0,Eastern Illinois,DePaul
331,Florida A&M vs. Miami (OH),2006-11-17,-19.0,Florida A&M,Miami (OH)
332,Alcorn St. vs. Florida International,2006-11-17,-13.0,Alcorn St.,Florida International
